Year,Product Type,Product/Title,Plot/Notes
1993,Footwear,"Nike""Hare Jordan""",Marvin the Martian takes all the Air Jordans on earth and challenges Michael Jordan and Bugs Bunny to a game of basketball with the fate of the earth at stake. This commercial would serve as inspiration for the movie Space Jam.
1993,Clothing,"Lee""Inhale""",A man trying to suck in his stomach to button up his jeans ends up inhaling his pet canary.
1993,Clothing,"Lee""The Date""","A young woman in her bedroom upstairs wearing a white leotard as a top sees her date (Alan Cumming) pulling up. She struggles to get into her jeans by hip rolling, and jumping up and down and trying to pull jeans up at same time. Date sees shadow of her hip rolling in window and gets excited. As she continues to struggle to get into her jeans she gets one foot tangled in cord of floor lamp then the other and falls into mannequin with mannequin landing on top of her and the lights going out. Date sees this and looks to him like she is fooling around with another guy."
1993,Car,"Subaru Impreza""Teaser""",This ad was produced by Wieden+Kennedy. six different commercials are used to describe the new Impreza:1. the Honda Civic have a 3-Channel ABS but The Impreza Have a 4-Channel ABS.2. The Impreza having less trouble starting the engine in cold weather condition than the Honda Civic by Eliminating the Distributor.3. With The new EJ18 Horizontally Opposed engine help The Impreza for better connering and better weight distribution Than the Honda Civic.4. The Impreza Suspension give a Smoother ride than a Double wishbone suspension Honda Civic.5. The Impreza TCU is linked with the ECU to provide seamless shifting.6. The Subaru Passenger Car which Registration in The past 10 Years are still on the road for 93 Percent According to 1991 R.L. Polk & Company Passenger Car Registration Report.Narrator: Kirstie Alley
1993,Car,"Honda Prelude""Slingshot""","This ad was produced by RPA. The commercial announcer saying ""Presenting The One hundred And ninety Horsepower Prelude VTEC"" Then the car going reverse and Suddenly the Prelude go forward like a slingshot fires Then The commercial announcer saying ""From Honda"" before ending with the Honda logo and the American Honda Motor Jingle."
1994,Car,Jeep,"""Snow Covered""","This ad was produced by Bozell. The commercial features something tunneling beneath the snow, crossing a vast and desolate mountain range, bathed in the multicolored glow of the setting sun. The tunneling object is never exposed and actually remains undefined until the last seconds of the ad, when we see twin taillights light up at a partially submerged stop sign and then turn left. The car is only identified as a Jeep on the final title card that flashes across the screen The commercial First aired during the opening ceremonies of the 1994 Winter Olympics. Although the ad was recognized for its remarkable special effects, many of which eschewed CGI in favor of practical setups, it has been most credited for its approach to the Jeep brand as a whole. While most ads only receive major airplay for a few months, “Snow Covered” was shown for the better part of a decade after its release. the Snow Covered ad was awarded with the prestigious Grand Prix award in the section Film Lions at the Cannes Lions International Advertising Festival in 1994, becoming the first auto ad to ever do so. by beating Cup Noodles sequels ""hungry?"" Quetzalcoatlus and Uintatherium which produced by Hakuhodo. Before The Ad Aired in Super Bowl XXIX."
1994,Beer,Budweiser,"""Frogs""","Three frogs are sitting in a swamp sounding out different syllables until they finally speak out the name ""Budweiser""[5]"
1994,Car,Jeep Grand Cherokee,"""Driveaway""",
1994,Clothing,No Fear,"""Rodeo""",The commercial features nine-time World Champion rodeo cowboy Ty Murray (The commercial aired Later during the 1995 Indianapolis 500).
1996,Film,Independence Day,TV promo.
1996,Restaurant,"McDonald's""Baby Swing""","Swinging in her baby swing to ""Rock-a-Bye Baby,"" a little girl. Swinging forward, she puts on a happy smile Swinging backwards, her face crumples in distress Swinging forward, her eyes light up again, swinging back tears form in her eyes, A reverse cut shows that the swing is facing a window When the swing comes forward the baby can see McDonald's golden arches When it swings back she can't.  the Baby Swing ad has won the Grand Prix in the section Film Lions at the Cannes Lions International Advertising Festival with the Rolo ad ""Elephant"" in same year This ad was produced by Leo Burnett Worldwide."
1997,Car,"Nissan""Pigeons""","With homage to Top Gun, pigeons attempt to poop on a Nissan, but the car is too fast for them."
1997,Film,Dante's Peak,TV promo.
1997,Film,The Lost World: Jurassic Park,TV promo.
1997,Film,The Saint,TV promo.
1997,Food,"Eggo""Grandma""","As an Eggo waffle pops out of a toaster, a family rushes over to grab it, but it disappears. In an instant replay, it's revealed their grandmother somersaulted through the air and finished eating it before they got to the toaster."
1997,Food,"Lays""Nuzzle and Nibble""","At a fancy restaurant, Miss Piggy falls in love with a charming man. But when the man wants to eat her Baked Lays, she karate chops him through the wall."
1997,Food,"Lays""Party""","People are celebrating the new flavors of Baked Lays. When Miss Piggy has the door closed on her, she disrupts the party by kicking down the door.Cast: Richard Lewis."
1997,Soft drink,"Pepsi""Darth Vader""","While watching Star Wars, a little kid is sucking on the straw of his Pepsi too loud, so Darth Vader uses the force to crush his Pepsi. An usher stands up for the kid, and soon has a giant lightsaber battle with Vader."
1998,Beer,"Bud Light""Chicken Pool""",A man challenges a pool player with his chicken. The chicken wins the game by shooting eggs.
1998,Beer,"Bud Light""Shopping""","A man is bored while his wife is clothes shopping. He hears a voice in one of the clothing racks, and finds four of his buddies watching the game.Cast: Sean Hayes, Kathy Christopherson."
1998,Beer,"Budweiser""Master Plan""","In a six-part commercial story, Louie the Lizard tries to kill off the Budweiser Frogs. It goes like this:1. Louie tells the frogs to enjoy the first half, because they may not be around for the second.2. Louie denies rumors from Frank that he's going to kill the Frogs.3. The Ferret, Louie's accomplice, drops the Budweiser sign into the swamp, electrocuting the frogs.4. Louie says it's the best day of his life, until he sees that the Frogs have survived.5. Louie rants to the Ferret that he screwed up the job.6. Louie apologizes for trying to kill the Frogs, saying it was purely for entertainment reasons."
1998,Car,"Pontiac""ACME Pontiac""","In a Wile E. Coyote and Road Runner cartoon, Wile E. Coyote uses a Widetrack Grand Prix to try and catch the Road Runner. Coyote is almost successful, until the cartoon ends before he can catch the Road Runner."
1998,Computer,"Intel""Mystery""","In the Intel Lab where everyone wears radiation suits, the detective (in a suit) finds a processor missing. It's either Jimmy the Wire or Susie the Mouse. People voted in the internet poll ""Whodunit?"". At the fourth quarter, the suspect was announced."
1998,Credit card,"Visa""Elephant""","A little girl talks about how she would want a pet elephant. In sweet music, the girl talks about her adventures with the elephant. She instead gets a plush elephant with Visa Debit. The commercial ends with her dreaming of a pet zebra."
1998,Film,Armageddon,TV promo.
1998,Film,Lost in Space,TV promo.
1998,Film,Mercury Rising,TV promo.
1998,Film,Sphere,TV promo.
1998,Film,The Mask of Zorro,TV promo.
1998,Film,The Wedding Singer,TV promo.
1998,Food,"Doritos""Laundromat""","Two men are at a Laundromat when a beautiful woman (Ali Landry) enters to do her own laundry and notices them eating Doritos. They try impressing her with elaborate ways of tossing Doritos 3Ds into the air. Intrigued, the woman then walks over to them, takes the 3Ds and tosses them into a washing machine where it shoots out individual pieces and demonstrates her own unique way of eating the new Doritos. The man on the left then says, ""Ay chihuahua!""Also starring Sean Hayes"
1998,Food,"Hormel""Bold Innovations""",What appears to be a commercial for a car turns out to be a commercial for Hormel Chili.
1998,Food,"Tabasco Sauce""Mosquito""","A man is constantly putting Tabasco sauce on his pizza. When a mosquito bites him on the leg, he does not mind. Because when the mosquito flies off, it explodes. The advert would air as a cinema advert in the UK on late March/early April 2008."
1998,Mail,"FedEx""We Apologize""","A colored ""Please Stand By"" test bar is on the screen. A message scrolls across the screen: ""We apologize. You should be watching the new ad from EarthCo Insurance. It starred those lifeguards from Baywatch and a chorus line of singing kangaroos. We even got Garth Brooks to do the music. It was very humorous. Unfortunately, a tape of the commercial didn't get to NBC on time. Imagine, $1.3 million is going down the tubes all because some boob at our ad agency didn't send the commercial with FedEx. (Had they used FedEx, they would still be our ad agency.)"""
1998,Restaurant,"Pizza Hut""Elvis""","Five guys are hanging out. One says that Elvis is back, while one jokes that he's dancing over at Pizza hut. We cut to Pizza hut to find this rumor true, as he's come back from the dead for their new Edge Pizza."
1998,Shoes,"Hilfiger""Have Some Fun""",A fancy woman agent is representing Michael Richards as the Hilfiger spokesman. We see Richards losing at basketball when he hits his head.
1998,Soft drink,"Pepsi""Mosquito""","A CGI fly sucks on a drop of Pepsi. He then grows lips and a mouth, and proceeds to sing The Rolling Stone's ""Brown Sugar"", but is later crushed by a Pepsi can. One version has a red-headed teenage boy, while a different version was released with a young Ricky Martin."
1998,Soft drink,"Pepsi""Goose""","A man does aerial tricks with a goose, and they share a Pepsi afterward."
1998,Sports,"NFL""Anthony""",A kid named Anthony is said to play in the NFL.
1998,Tire,"Michelin""Drill""","A man goes up to his car and drills a hole in one of his tires. Since it's a Michelin tire, it still won't go flat."
1998,Website,"Autobytel""Pajamas""","While buying amazing car deals online, a woman is sucked into her computer to retrieve her new car."
1999,Beer,"Bud Light""Paper or Plastic""","Two guys are trying to pay for their items, but they do not have enough. They get rid of some items, and are left with toilet paper and Bud Light, but it is not enough. Choosing between the two, they choose Bud Light."
1999,Beer,"Budweiser""Dalmatians""","At a firehouse, two Dalmatian puppies roll around in a basket. The puppy with the blue collar is picked as the fire dog, in which[clarification needed] it sticks its tongue at his brother with a red collar. Two years pass, and the red-collared puppy is seen by the fire dog to be in a Budweiser chariot driven by Clydesdales. The dalmatian then sticks his tongue out at his estranged brother."
1999,Beer,"Budweiser""Lashing""","Louie the Lizard apologizes for last year's commercial (see 1998). When the Budweiser Frogs (mainly ""Bud"" and ""Er"") turn out to be able to talk, ""Bud"" and ""Er"" slap Louie with their tongues."
1999,Beer,"Budweiser""Lobster""","A lobster about to be cooked in a restaurant grabs a Budweiser and holds it hostage. Freaking out the restaurant, it leaves with the Budweiser."
1999,Credit card,"MasterCard""Toons""","Characters from the Hanna-Barbera cartoons are shown what it costs for contact lenses, a treadmill, a Wonderbra, and a face lift. Being happy with yourself is priceless."
1999,Computer,"Apple Inc.""HAL""","In a parody of 2001: A Space Odyssey, HAL flirts with Dave. He says that a bug caused computers to misbehave in the year 2000, since they could not recognize the year 2000. They say that Macintosh can recognize the year, and then asks, ""You like your Macintosh better than me. Don't you, Dave?"""
1999,Film,Austin Powers: The Spy Who Shagged Me,"In a TV promo, they announce that the new film to see this summer is the new Star Wars film. The second is the next Austin Powers film."
1999,Film,The Corruptor,TV promo.
1999,Film,Ed TVLife,Joint TV promo.
1999,Film,8MM,Two TV promos.
1999,Film,The Matrix,TV promo.
1999,Film,"Mulan""Groundhog Day""","Advertising the release of the film on video on Groundhog Day, Mushu rises out of the hole instead of a groundhog, but he ultimately gets hit by a football."
1999,Film,The Mummy,TV promo.
1999,Film,October Sky,TV promo.
1999,Film,True Crime,TV promo.
1999,Film,Wild Wild West,TV promo.
1999,Food,"Doritos""Smokin""","At a college classroom, students are in awe of their hot teacher. She eats Smoking Red Barbequed Doritos, which causes the sprinklers to go off. Luckily, the students bring umbrellas. But when they forget to use their umbrellas the second time she eats Doritos, the students bow down to her in the rain. The announcer then says, ""Umbrellas not included"".Cast: Ali Landry."
1999,Mail,"FedEx""Stanley Cup""","An agent is supposed to deliver the Stanley Cup on the hockey rink in a crate. The package instead is bird seed. In Bolivia, villagers receive a crate with the Stanley Cup, and use it as a cup for grapes.[9]"
1999,Restaurant,"Pizza Hut""New Yorker""","Four different commercials are used to describe the new New Yorker pizza, two ads saying that New Yorkers have big mouths because of the big pizza:1. Fran Drescher says how everything's big in New York.2. Spike Lee constantly complains about things all over New York.3. An announcer says that the pizza's so big it has three zip codes.4. Donald Trump says that he has large things in New York, including his plans for the tallest skyscraper in New York and his name plastered all over the city."
1999,Sports,"WWF""HQ""","Famous wrestlers, including Stone Cold Steve Austin and The Rock, discuss how not violent it is at the WWF World Headquarters. Wherever the wrestlers were walking around, everyone's beating each other up.[10][11] An uncensored version was also released."
1999,Website,"Buy.com""Aliens""","After aliens from another planet are able to get Buy.com on their computer, they enjoy many things, like DVD edition of Caddyshack, PlayStation with Namco Tekken 3, and Men Are From Mars, Women Are From Venus."
1999,Website,HotJobs.com,A security nightwatchman at an unknown place is bored. He goes into Hotjobs.com until landing the perfect job: a security nightwatchman in a bigger building.
1999,Website,"Monster.com""When I Grow Up""","Kids talk about what they want to do when they grow up, including filing papers every day, being a yes man, and having a brown nose."
2000,Beer,"Bud Light""Elevator""","A man tries to hold the elevator by putting his arm in the door. The bad news is that he has a six-pack of bud Light in his hand, which the others in the elevator steal."
2000,Beer,"Bud Light""Cat""","A woman tells her boyfriend that her cat doesn't like anyone who takes her Bud Light. He ignores her by reaching for a Bud Light. That is, until the cat turns out to be a tiger."
2000,Beer,"Budweiser""Photo Shoot""",Louie and Frankie document a scandal which focuses on a 1979 summer photo shoot where the ferret posed nude.
2000,Beer,"Budweiser""Which Game?""","Three men are on the phone with a guy allegedly watching the game. Their question: ""Whassup?"""
2000,Beer,"Budweiser""Rex's Motivation""","A dog s not crying in a movie scene, so the director tells the dog to think back to his worst day. The dog's worst day was jumping over a hedge to chase a Budweiser truck, only to ram head first into the side of a lawn care truck. The dog then gives the howl of his life."
2000,Candy,"M&M's""Sexy Girl""",Men and women are all impressed by the green M&M.
2000,Credit card,"Visa""Swimmers""","The announcer decide to take a break from commercialization and focuses on the 2000 Olympic Games with female swimmers swimming. They then spelled out ""VISA"", and the announcer ends their break, and says that Visa is the official card of the Olympic Games."
2000,Film,Gladiator,TV promo.
2000,Film,Mission to Mars,TV promo.
2000,Film,Titan A.E.,TV promo.
2000,Mail,"FedEx""Combat Rangers""",Combat Rangers action figures are all wearing dresses. The toy makers found that the wrong shipping company got the wrong dresses in China.
2000,Mail,"FedEx""The Lollipop Guild""","While greeting Dorothy, the Lollipop Guild lose their high voices. A FedEx truck delivers three balloons to the group, they inhale the helium, and continue the greeting."
2000,TV,"Oxygen""Baby Girl Power""","At a maternity ward, a pink cap for a baby girl is found on the floor. Soon, all the babies take off their caps, signifying they should not be categorized."
2000,Website,"AutoTrader.com""I Need a Car""","A man stands in a vast, featureless white room. He says, ""I need a car."" Countless cars zoom past him, which are narrowed down based on his choices."
2000,Website,"Britannica.com[12]""Untitled""","In a completely silent TV spot, a bunch of random questions appear on the screen, such as ""who keeps the coin after the coin toss?"" and ""where do Buffalo wings come from?"" Then it ends with britannica.com logo with tagline ""what's on your mind?""[13]"
2000,Website,"Computer.com""Mike and Mike""","To get opinions on Computer.com, we watch interviews with the creators' mother, college buddy, nephew, and uncle."
2000,Website,"e1040.com""Charity""","An accountant asks a client if he gave anything to charity. The man exclaims that he gave a mint to ""charity"", who turns out to be a woman."
2000,Website,"EDS""Cat Herders""",We take a look at the tough and drama-filled job of being a cat herder.Director: John O'Hagan.
2000,Website,"Epidemic.com""Bathroom""",A man washes his hands and receives money for it. He sneezes and the same thing happens.
2000,Website,"E*Trade""Wasted 2 Million""","Two men and a monkey dance to ""La Cucharacha"". Then, the screen makes fun of the money being spent by websites on Super Bowl ads by saying: ""Well, we just wasted two million bucks.""[5]"
2000,Website,"E*Trade""Out the Wazoo""","A man is rushed to the ER. Doctors discover that he has money ""coming out the wazoo""."
2000,Website,"E*Trade""Basketball Prodigy""",A young man scores the winning goal in a basketball game. His coach tells him that he's a natural. The player then declares that he wants to dance for a career.
2000,Website,"e-stamp.com""Time Saving Tips""",A man who owns his own business is shown shredding paper. A voice asks if he really has time for this. The man realizes he can throw the papers into his backyard and shred them by mowing his lawn. The voice congratulates him and suggests that he use e-stamp.com to buy postage.
2000,Website,"Hotjobs.com""Negotiations""","Two businessmen negotiate with a giant, light-up mouse-pointer hand. The hand mocks the first businessman's suggestions, noting that ""A startup in Frisco made a mockery of your signing bonus."" The businessman tells the hand ""I don't like you."""
2000,Website,"Kforce""Looking for a Job""","A man leads someone through the red-light district of a city. After walking through a door marked ""JOBS"", he falls down a chute into a desert. Images of Kforce.com at work are then shown."
2000,Website,"LastMinuteTravel.com""Tornado""",Two men set up lawn chairs and watch an incoming tornado. They discuss one man's recent trip to Barbados as the tornado sucks the other man away at the last minute.
2000,Website,"LifeMinders.com""The Worst Commercial""","On yellow paper in typing while ""Chopsticks"" is played on piano, a message says: ""This is the worst commercial on the Super Bowl. But it might be the best thing you see tonight. Introducing LifeMinders.com. We send highly personalized emails on topics you ask for. Free. No junk. How can we do all this with 7.5 million members? We're information experts (geeks). But we don't know diddly about making ads."""
2000,Website,"MicroStrategy""Fraud""","A voice over a cell phone helps a man to reschedule a flight. When he tries to pay for it with a credit card, the voice alerts police that the man is impersonating the real cardholder."
2000,Website,"MicroStrategy""Stock Alert""",A woman in an airport uses her mobile device to trade stocks.
2000,Website,"Monster.com""The Road Less Travelled""","A woman stands on a street corner in a city. Various people walking past her recite ""The Road Not Taken"" by Robert Frost."
2000,Website,"OnMoney.com""Paper Monster""","A man sits in a room with papers scattered everywhere. The papers gather into the shape of a monster and assault him. He survives by opening his laptop, which sucks the paper monster inside of it."
2000,Website,"Netpliance""Webhead""",Various images of people wearing glasses with tape across the middle are shown. A voice asks what would happen if everyone could access the internet without a computer.
2000,Website,"OurBeginning.com""Invites""",Soon-to-be-married brides fight with each other at a wedding invitation store.
2000,Website,"Pets.com""If You Leave Me Now""","When pets are left home, the Pets.com sockpuppet sings the Chicago song ""If You Leave Me Now""."
2000,Website,"WebMD""Ali""",A close-up video of Muhammad Ali shadowboxing is shown. On-screen text makes obscure references to circumventing the healthcare system.
2001,Beer,"Budweiser""We Are Not Alone""","A dog is abducted by aliens. It is revealed that the dog is actually an alien in disguise. When the leader asks what he has learned, the alien quotes the Whassup? line. It soon catches on with the alien, and an alien intelligence agency finally detects the race."
2001,Beer,"Budweiser""What Are You Doing?""","A commercial plays that shows sharply dressed men parodying the Whassup? commercials with the line ""What are you doing?"" It is then revealed to be a commercial watched by the men from the Whassup? commercials."
2001,Film,A Knight's Tale,TV promo.
2001,Film,Exit Wounds,TV promo.
2001,Film,Hannibal,TV promo.
2001,Film,Swordfish,TV promo.
2001,Film,The Fast and the Furious,TV promo.
2001,Film,The Mummy Returns,TV promo.
2001,Food,"George Foreman Grill""Colors""",People dance to celebrate the five new colors the George Foreman Grill comes in.
2001,Gaming,"PlayStation 2""Future""",A future commercial advertises the PS9.
2001,Soft drink,"Pepsi""The Best Pepsi Ad Ever""",The winner of the online poll for the best Pepsi commercial that aired during the Super Bowl is announced. The winning commercial is played: the 1992 Cindy Crawford commercial.
2001,Soft drink,"Pepsi""Bob Dole""","Bob Dole does a spoof on his erectile dysfunction commercials by using Pepsi as the product. Pepsi helps him feel young again, as he does a backflip.Cast: Bob Dole, Eric Stonestreet."
2001,Soft drink,"Pepsi""Rollercoaster""","A man brings a full cup of Pepsi on a rollercoaster. Somehow, he manages to spill none of it on the ride. Later, an attractive woman asks him for the time, and he spills the Pepsi on his shirt."
2001,Website,"E*Trade""Ghost Town""","In a spoof of the famous 1970s Crying Indian commercial, the chimp from last year's popular E*Trade commercial wanders through a ghost town on a pony. Several deserted dot-com businesses are seen, referring to the various dot-com companies which went bankrupt partly due to their commercials last year. The chimp sheds a tear for the corpse of the Pets.com sock puppet dog."
2002,Beer,"Budweiser""Clydesdale Respect""","As a tribute to the victims of the September 11th attacks, Budweiser produced a one time only advertisement. The commercial shows the Budweiser Clydesdales walking across the Brooklyn Bridge into New York City. They then stopped, gazed at the ruined New York skyline, and bowed in reverence and respect. The commercial aired only once, but was available on the website for a period of one year. A modern take on this commercial aired a decade later, with the newly-built One World Trade Center in the background skyline."
2002,Film,Austin Powers in Goldmember,TV promo.
2002,Film,Blade II,TV promo.
2002,Film,Collateral Damage,TV promo.
2002,Film,Spider-Man,"TV promo, which gained popularity."
2002,Food,"Lipton Brisk""Puppet Strike""","A puppet version of Danny DeVito is fired, as the new Brisk is so good, it sells itself. This causes all the puppets from the Lipton Brisk commercials to go on strike."
2002,Gaming,Madden NFL 2002,TV promo.
2002,Soft drink,"Pepsi""Now and Then""[14]","Britney Spears promotes the Pepsi generation in the years 1958, 1963, 1966, 1970, 1989, and the present day.Director: Joe Pytka; Cast: Britney Spears."
2002,Soft drink,"Pepsi""The Joy of Pepsi""","Britney Spears sings an updated version of ""The Joy of Pepsi"" jingle (which was first introduced in 1999). A 90-second music video was made into a commercial, which aired during the Super Bowl.[14]"
2002,Website,"Yahoo!""Dolphin""",A man is walking in the waters near an island when he meets a talking dolphin. The man says he found the island on Yahoo!. The dolphin then admits it learned to talk on Yahoo! as well.
2003,Film,Anger Management,TV promo.
2003,Film,Bad Boys II,TV promo.
2003,Film,Bruce Almighty,TV promo.
2003,Film,Charlie's Angels: Full Throttle,TV promo.
2003,Film,Daredevil,TV promo.
2003,Film,Gods and Generals,TV promo.
2003,Film,Hulk,TV promo.
2003,Film,The Matrix Reloaded,TV promo.
2003,Film,Tears of the Sun,TV promo.
2003,Film,Terminator 3: Rise of the Machines,TV promo.
2003,Mail,"FedEx""Cast Away""","Is the final scene of the 2000 film of the same name where Chuck returns the package to its sender. But in this version the woman answers the door; when Chuck asks what was in the box, the woman replies, ""Just a satellite phone, GPS locator, fishing rod, water purifier and some seeds. Just silly stuff."""
2004,Beer,"Budweiser""Donkey""","A donkey narrates his life story, where he dreams of becoming a Budweiser Clydesdale. He trains and trains, even going to the trouble of putting puffy hooves on his feet. When his job interview comes, the five Clydesdale horses ask why he should become a Clydesdale. He responds with a donkey sound, and gets the job."
2004,Car,"Ford""The One""",A Ford GT is shown driven a speed on a racetrack.
2004,Gaming,"PlayStation 2""Going Back""","TV promo for Jet Li: Rise to Honor (Full Version of ""Going Back"" Aired later)."
2004,Film,50 First Dates,TV promo.
2004,Film,Hidalgo,TV promo.
2004,Film,Starsky & Hutch,TV promo.
2004,Film,Secret Window,TV promo.
2004,Film,The Alamo,TV promo.
2004,Film,Troy,TV promo.
2004,Film,Van Helsing,TV promo.
2004,Potato chips,"Lay's""Dentures""","A teen drops a bag of Lay's chips. An elderly woman tries to get the chips, only to get knocked over by an elderly man's cane. The man grabs the bag, only to realize that the woman has his dentures. The teen comes back and takes the Lay's chips, and plants a kiss on the man."
2004,PSA,"Truth ""Shards O'Glass""","An executive for a popsicle company, ""Shards O' Glass,""  provides disclaimers for their product - a popsicle with shards of glass in it, clearly unsafe and deadly - and posed the question, ""What if all companies sold products like tobacco?""[15]"
2004,Credit card,"MasterCard""Errands""","Homer Simpson is doing some errands such as buying beer instead of diapers, an oil change, and a haircut. Homer seems to know of the narrator's existence, finally being fed up with him at Moe's Bar, muttering the words ""stupid voice-over guy""."
2004,Soft drink,"Pepsi""Bear's Disguise""","When two grizzly bears rob a cottage, they find no Pepsi anywhere. One of the bears steals the resident's ID and disguises himself as the person. Then, he buys Pepsi at a convenience store."
2004,Soft drink,"Pepsi""Hendrix""","In Seattle, 1953, a young Jimi Hendrix walks down a city sidewalk. When he sees a Pepsi machine and Coke machine, he chooses the Pepsi machine. At the machine, he sees a Fender Telecaster electric guitar in a pawn shop. If he had gone to the Coke machine, he would have bought an accordion. The screen then says, ""Whew...that was a close one."" In the background, Hendrix's ""Purple Haze"" is playing; at first as the original recording, then on accordion."
2005,Beer,"Budweiser""Audition""","All kinds of animals come to the Budweiser Clydesdale farm to become a Clydesdale. A driver looks at the donkey from last year's Budweiser commercial and says, ""Now look what you've started."""
2005,Beer,"Budweiser""Welcome Home""","Pedestrians are in an airport, minding their own business. People start clapping. Then, everyone is clapping, as it is revealed they are clapping for soldiers coming home from war. At the end, a title card says, ""Thank you.""Director: Joe Pytka."
2005,Beer,"Heineken""Beer Run""","Brad Pitt buys a six-pack of Heineken at a corner shop. Soon, he is being chased by a mob of paparazzi. It ends with an anonymous phone call.Director: David Fincher"
2005,Car,"Ford""Gang""","A tough biker gang is going to the bar, only to be scared off by Fords."
2005,Credit card,MastercardIcons,Features classic advertisting mascots eating dinner.
2005,Film,Batman Begins,TV promo.
2005,Film,Be Cool,TV promo.
2005,Film,Constantine,TV promo.
2005,Film,Hitch,TV promo.
2005,Film,Robots,TV promo.
2005,Film,Sahara,TV promo.
2005,Film,The Pacifier,TV promo.
2005,Film,War of the Worlds,TV promo.
2005,Soft drink,"Diet Pepsi""The Diet Pepsi Truck""","P. Diddy is late for an awards show, so he hitches a ride on a Diet Pepsi truck. After the arrival, everyone starts driving Diet Pepsi trucks, being the next big thing."
2005,Technology,OlympusLet Your Pictures Groove,"Olympus has created two commercials for this weekend's Super Bowl XXXIX broadcast that are high-energy odysseys of music, photography and dance. The spots - which promote Olympus m:robe 500, the first digital music player that takes pictures - feature funky electronica music, cool Poplockin' dance techniques and dazzling special effects.[neutrality is disputed][citation needed]"
2006,Film,16 Blocks,TV promo.
2006,Film,Cars,TV promo.
2006,Film,Mission: Impossible III,TV promo.
2006,Film,Pirates of the Caribbean: Dead Man's Chest,TV promo.
2006,Film,Poseidon,TV promo.
2006,Film,Running Scared,TV promo.
2006,Film,The Shaggy Dog,TV promo.
2006,Film,V for Vendetta,TV promo.
2008,Beer,"Bud Light""Cavemen""",Three cavemen are trying to carry a cooler of Bud Light to a party. A friend says that he has invented the wheel. But the wheel is not working when they use it as hoister to carry the Bud Light.
2008,Beer,"Budweiser""Training""","For the Budweiser Clydesdales this year, Hank the Clydesdale is not picked. A dalmatian sees this and offers to train Hank for next year. In a tribute to Rocky, the two train like the training in the famous movie. The year after that, Hank becomes a Budweiser Clydesdale and gives a high five to his trainer."
2008,Car,"Audi""The Godfather""","Spoofing The Godfather, the horse's head is replaced with the front of a Rolls-Royce."
2008,Film,Iron Man,TV promo.
2008,Film,Jumper,TV promo.
2008,Film,The Chronicles of Narnia: Prince Caspian,TV promo.
2008,Film,Wanted,TV promo.
2008,Film,You Don't Mess with the Zohan,TV promo.
2008,Soft drink,"Coca-Cola""It's Mine""","At the Macy's Thanksgiving Day Parade, the Underdog and Stewie Griffin balloons chase after a Coke balloon, with New Yorkers watching from many places. But instead, Charlie Brown triumphantly catches the Coke."
